state,city,county,zip_code,longitud,latitude
ALBACETE,ALBACETE,ALBACETE,02080,"-1,933250","39,059806"
ALBACETE,ALBACETE,ALBACETE,02080,"-1,933056","39,060528"
ALBACETE,ALBACETE,ALBACETE,02007,"-1,871361","39,015444"
ALBACETE,ALBACETE,ALBACETE,02007,"-1,886278","39,021778"
ALBACETE,ALBACETE,ALBACETE,02006,"-1,847361","38,988972"
ALBACETE,ALBACETE,ALBACETE,02007,"-1,874333","39,018000"
ALBACETE,ALCADOZO,ALCADOZO,02124,"-1,978917","38,646833"
ALBACETE,ALCALÁ DEL JÚCAR,ALCALA DEL JUCAR,02210,"-1,433222","39,203167"
ALBACETE,ALCARAZ,ALCARAZ,02300,"-2,492222","38,673111"
ALBACETE,ALCARAZ,JARDIN (EL),02330,"-2,327639","38,808528"
ALBACETE,ALMANSA,ALMANSA,02640,"-1,100528","38,874583"
ALBACETE,ALMANSA,ALMANSA,02640,"-1,108000","38,871556"
ALBACETE,ALMANSA,ALMANSA,02640,"-1,143722","38,878278"
ALBACETE,ALMANSA,ALMANSA,02640,"-1,084750","38,859944"
ALBACETE,ALMANSA,ALMANSA,02640,"-1,098889","38,879167"
ALBACETE,ALMANSA,ALMANSA,02640,"-1,175750","38,875028"
ALBACETE,ALMANSA,ALMANSA,02640,"-1,089278","38,874083"
ALBACETE,BALAZOTE,BALAZOTE,02320,"-2,150639","38,878028"
ALBACETE,BARRAX,BARRAX,02639,"-2,195139","39,043139"
ALBACETE,BARRAX,BARRAX,02639,"-2,192996","39,051236"
ALBACETE,BIENSERVIDA,BIENSERVIDA,02360,"-2,617667","38,516417"
ALBACETE,BONETE,BONETE,02691,"-1,331611","38,876111"
ALBACETE,BONETE,BONETE,02691,"-1,331500","38,875861"
ALBACETE,BONILLO (EL),BONILLO (EL),02610,"-2,535056","38,953361"
ALBACETE,CASAS DE JUAN NÚÑEZ,CASAS DE JUAN NUÑEZ,02151,"-1,560857","39,100792"
ALBACETE,CASAS-IBÁÑEZ,CASAS-IBAÑEZ,02200,"-1,477806","39,283944"
ALBACETE,CAUDETE,CAUDETE,02660,"-0,982111","38,708944"
ALBACETE,CAUDETE,CAUDETE,02660,"-0,946306","38,682750"
ALBACETE,CAUDETE,CAUDETE,02660,"-0,955833","38,756417"
ALBACETE,CAUDETE,CAUDETE,02660,"-0,943000","38,727472"
ALBACETE,CAUDETE,CAUDETE,02660,"-0,939444","38,728889"
ALBACETE,CAUDETE,CAUDETE,02660,"-0,974778","38,710861"
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,CHINCHILLA DE MONTE-ARAGO,02520,"-1,758000","38,937583"
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,CHINCHILLA DE MONTE-ARAGO,02520,"-1,757611","38,938611"
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,POZO BUENO,02510,"-1,731861","38,803389"
ALBACETE,CHINCHILLA DE MONTE-ARAGÓN,CHINCHILLA DE MONTE-ARAGO,02520,"-1,726278","38,915972"
